date,sym,side,start-time,end-time,volume
2023/8/29,688082.SH,SELL,z 09:30:00,z 09:39:30,11000
2023/8/29,688088.SH,SELL,z 09:30:00,z 09:39:30,1200
2023/8/29,688106.SH,BUY,z 09:30:00,z 09:40:00,50000
2023/8/29,688112.SH,SELL,z 09:30:00,z 09:39:30,3100
2023/8/29,688139.SH,BUY,z 09:30:00,z 09:40:00,12500
2023/8/29,688187.SH,SELL,z 09:30:00,z 09:39:30,1100
2023/8/29,688188.SH,SELL,z 09:30:00,z 09:39:30,800
2023/8/29,688203.SH,BUY,z 09:30:00,z 09:40:00,6700
2023/8/29,688208.SH,SELL,z 09:30:00,z 09:39:30,2500
2023/8/29,688209.SH,BUY,z 09:30:00,z 09:40:00,3300
2023/8/29,688230.SH,SELL,z 09:30:00,z 10:49:30,27000
2023/8/29,688237.SH,SELL,z 09:30:00,z 09:39:30,4600
2023/8/29,688258.SH,BUY,z 09:30:00,z 09:40:00,800
2023/8/29,688311.SH,BUY,z 09:30:00,z 09:40:00,46900
2023/8/29,688318.SH,SELL,z 09:30:00,z 09:39:30,1316
2023/8/29,688358.SH,SELL,z 09:30:00,z 09:39:30,15100
2023/8/29,688387.SH,SELL,z 09:30:00,z 09:39:30,20100
2023/8/29,688403.SH,BUY,z 09:30:00,z 09:40:00,50000
2023/8/29,688418.SH,SELL,z 09:30:00,z 09:39:30,5500
2023/8/29,688432.SH,SELL,z 09:30:00,z 09:39:30,50000
2023/8/29,688439.SH,SELL,z 09:30:00,z 09:39:30,8300
2023/8/29,688475.SH,SELL,z 09:30:00,z 09:39:30,9641
2023/8/29,688479.SH,BUY,z 09:30:00,z 09:40:00,6800
2023/8/29,688526.SH,BUY,z 09:30:00,z 09:40:00,24000
2023/8/29,688589.SH,BUY,z 09:30:00,z 09:40:00,24400
2023/8/29,688590.SH,BUY,z 09:30:00,z 09:40:00,5500
2023/8/29,688619.SH,SELL,z 09:30:00,z 09:39:30,41900
2023/8/29,688676.SH,SELL,z 09:30:00,z 09:39:30,8300
2023/8/29,688698.SH,BUY,z 09:30:00,z 09:40:00,4300
2023/8/29,688777.SH,BUY,z 09:30:00,z 09:40:00,1600
2023/9/4,000009.SZ,SELL,z 09:30:00,z 09:39:30,36900
2023/9/4,000089.SZ,BUY,z 09:30:00,z 09:40:00,24000
2023/9/4,000090.SZ,BUY,z 09:30:00,z 09:40:00,40100
2023/9/4,000338.SZ,BUY,z 09:30:00,z 09:40:00,67400
2023/9/4,000404.SZ,BUY,z 09:30:00,z 09:40:00,77900
2023/9/4,000415.SZ,SELL,z 09:30:00,z 09:39:30,104600
2023/9/4,000528.SZ,BUY,z 09:30:00,z 09:40:00,15500
2023/9/4,000656.SZ,SELL,z 09:30:00,z 09:39:30,199300
2023/9/4,000680.SZ,BUY,z 09:30:00,z 09:40:00,49200
2023/9/4,000776.SZ,SELL,z 09:30:00,z 09:39:30,101500
2023/9/4,000786.SZ,BUY,z 09:30:00,z 09:40:00,9200
2023/9/4,000791.SZ,SELL,z 09:30:00,z 09:39:30,39700
2023/9/4,000852.SZ,BUY,z 09:30:00,z 09:40:00,800
2023/9/4,000926.SZ,SELL,z 09:30:00,z 09:39:30,120300
2023/9/4,000961.SZ,SELL,z 09:30:00,z 09:39:30,616000
2023/9/4,000962.SZ,SELL,z 09:30:00,z 09:39:30,31900
2023/9/4,000975.SZ,BUY,z 09:30:00,z 09:40:00,16600
2023/9/4,000990.SZ,BUY,z 09:30:00,z 09:40:00,81600
2023/9/4,001218.SZ,BUY,z 09:30:00,z 09:40:00,7500
2023/9/4,001238.SZ,SELL,z 09:30:00,z 09:39:30,7900
2023/9/4,001286.SZ,SELL,z 09:30:00,z 09:39:30,154900
2023/9/4,001298.SZ,SELL,z 09:30:00,z 09:39:30,10300
2023/9/4,001323.SZ,BUY,z 09:30:00,z 09:40:00,14300
2023/9/4,002015.SZ,BUY,z 09:30:00,z 09:40:00,32900
2023/9/4,002027.SZ,BUY,z 09:30:00,z 09:40:00,2600
2023/9/4,002038.SZ,SELL,z 09:30:00,z 09:39:30,29700
2023/9/4,002056.SZ,BUY,z 09:30:00,z 09:40:00,116100
2023/9/4,002060.SZ,SELL,z 09:30:00,z 09:39:30,102300
2023/9/4,002065.SZ,SELL,z 09:30:00,z 09:39:30,371200
