,date,sym,side,start-time,end-time,volume
200,2023/8/29,688088.SH,SELL,z 09:30:00,z 09:39:30,1200
202,2023/8/29,688112.SH,SELL,z 09:30:00,z 09:39:30,3100
204,2023/8/29,688187.SH,SELL,z 09:30:00,z 09:39:30,1100
205,2023/8/29,688188.SH,SELL,z 09:30:00,z 09:39:30,800
207,2023/8/29,688208.SH,SELL,z 09:30:00,z 09:39:30,2500
209,2023/8/29,688230.SH,SELL,z 09:30:00,z 10:49:30,27000
210,2023/8/29,688237.SH,SELL,z 09:30:00,z 09:39:30,4600
213,2023/8/29,688318.SH,SELL,z 09:30:00,z 09:39:30,1316
214,2023/8/29,688358.SH,SELL,z 09:30:00,z 09:39:30,15100
215,2023/8/29,688387.SH,SELL,z 09:30:00,z 09:39:30,20100
217,2023/8/29,688418.SH,SELL,z 09:30:00,z 09:39:30,5500
218,2023/8/29,688432.SH,SELL,z 09:30:00,z 09:39:30,50000
219,2023/8/29,688439.SH,SELL,z 09:30:00,z 09:39:30,8300
220,2023/8/29,688475.SH,SELL,z 09:30:00,z 09:39:30,9641
225,2023/8/29,688619.SH,SELL,z 09:30:00,z 09:39:30,41900
226,2023/8/29,688676.SH,SELL,z 09:30:00,z 09:39:30,8300
229,2023/9/4,000009.SZ,SELL,z 09:30:00,z 09:39:30,36900
234,2023/9/4,000415.SZ,SELL,z 09:30:00,z 09:39:30,104600
236,2023/9/4,000656.SZ,SELL,z 09:30:00,z 09:39:30,199300
238,2023/9/4,000776.SZ,SELL,z 09:30:00,z 09:39:30,101500
240,2023/9/4,000791.SZ,SELL,z 09:30:00,z 09:39:30,39700
242,2023/9/4,000926.SZ,SELL,z 09:30:00,z 09:39:30,120300
243,2023/9/4,000961.SZ,SELL,z 09:30:00,z 09:39:30,616000
244,2023/9/4,000962.SZ,SELL,z 09:30:00,z 09:39:30,31900
248,2023/9/4,001238.SZ,SELL,z 09:30:00,z 09:39:30,7900
249,2023/9/4,001286.SZ,SELL,z 09:30:00,z 09:39:30,154900
250,2023/9/4,001298.SZ,SELL,z 09:30:00,z 09:39:30,10300
254,2023/9/4,002038.SZ,SELL,z 09:30:00,z 09:39:30,29700
256,2023/9/4,002060.SZ,SELL,z 09:30:00,z 09:39:30,102300
257,2023/9/4,002065.SZ,SELL,z 09:30:00,z 09:39:30,371200
258,2023/9/4,002103.SZ,SELL,z 09:30:00,z 09:39:30,24500
259,2023/9/4,002128.SZ,SELL,z 09:30:00,z 09:39:30,98800
261,2023/9/4,002146.SZ,SELL,z 09:30:00,z 09:39:30,243500
263,2023/9/4,002178.SZ,SELL,z 09:30:00,z 09:39:30,143500
268,2023/9/4,002244.SZ,SELL,z 09:30:00,z 09:39:30,173200
269,2023/9/4,002252.SZ,SELL,z 09:30:00,z 09:39:30,107000
