time,askprice_0,bidprice_0,cache_len,vwap,cache_size
94839000,262100,262000,30, 262278.2945736434,30
94842000,262300,262100,30, 262277.7988614801,30
94845000,262300,262200,30, 262278.1818181818,30
94848000,262300,262200,30, 262278.9090909091,30
94851000,262200,262100,30, 262276.41843971633,30
94854000,262200,262100,30, 262276.5541740675,30
94857000,262200,262100,30, 262276.70250896056,30
94900000,262200,262100,30, 262272.8752260398,30
94903000,262100,262000,30, 262267.37967914436,30
94906000,262200,262100,30, 262264.6748681898,30
94909000,262200,262100,30, 262264.61267605633,30
94912000,262200,262100,30, 262261.17850953207,30
94915000,262100,262000,30, 262254.32937181665,30
94918000,262200,262100,30, 262244.7863247863,30
94921000,262100,262000,30, 262240.9246575343,30
94924000,262100,262000,30, 262238.04537521815,30
94927000,262100,262000,30, 262230.8797127469,30
94930000,262100,262000,30, 262173.2782369146,30
94933000,262100,262000,30, 262146.49681528663,30
94936000,262200,262100,30, 262144.8717948718,30
94939000,262200,262100,30, 262141.28440366974,30
94942000,262200,262100,30, 262139.62848297216,30
94945000,262200,262000,30, 262136.89024390245,30
94948000,262200,262100,30, 262137.03703703705,30
94951000,262200,262100,30, 262136.25,30
94954000,262200,262100,30, 262135.9375,30
94957000,262200,262100,30, 262135.88957055216,30
95000000,262100,262000,30, 262135.2409638554,30
95003000,262200,262100,30, 262136.54970760236,30
95006000,262100,262000,30, 262146.0055096419,30
95009000,262100,262000,30, 262141.2429378531,30
95012000,262000,261900,30, 262114.32664756448,30
95015000,262000,261900,30, 262111.23919308357,30
95018000,262100,261900,30, 262100.55865921787,30
95021000,262100,261900,30, 262100.0,30
95024000,262100,262000,30, 262098.89807162533,30
95027000,262000,261900,30, 262096.34831460676,30
95030000,262000,261900,30, 262097.1014492754,30
95033000,262100,262000,30, 262083.0769230769,30
95036000,262200,262100,30, 262085.57457212714,30
95039000,262300,262200,30, 262094.85458612975,30
95042000,262300,262200,30, 262126.08695652176,30
95045000,262300,262200,30, 262135.38461538462,30
95048000,262300,262200,30, 262136.6990291262,30
95051000,262300,262200,30, 262138.12260536395,30
95054000,262300,262200,30, 262138.72832369944,30
95057000,262300,262200,30, 262141.29158512718,30
95100000,262300,262200,30, 262145.1866404715,30
95103000,262300,262200,30, 262146.6535433071,30
95106000,262300,262200,30, 262184.3076923077,30
95109000,262400,262300,30, 262188.4036144578,30
95112000,262500,262400,30, 262191.6666666667,30
95115000,262500,262400,30, 262197.3174366617,30
95118000,262500,262400,30, 262198.06259314454,30
95121000,262300,262200,30, 262199.25925925927,30
95124000,262300,262200,30, 262200.0,30
95127000,262300,262200,30, 262200.8995502249,30
95130000,262300,262200,30, 262202.74809160305,30
95133000,262200,262100,30, 262206.38655462186,30
95136000,262300,262000,30, 262204.8309178744,30
95139000,262200,262000,30, 262215.51433389547,30
95142000,262200,262000,30, 262216.52613827994,30
95145000,262200,262000,30, 262226.4184397163,30
95148000,262100,262000,30, 262228.0357142857,30
