time,askprice_0,bidprice_0,cache_len,vwap,cache_size,ask_bid_spread,ab_volume_misbalance,transaction_net_volume,volatility
93115000,206100,205700,20, 206029.20070586883,20,195.0,-144442,1602564,574.2984851103126
93118000,206100,206000,20, 206040.18541094044,20,195.0,-162906,1584804,566.8498478433244
93121000,206100,205800,20, 206043.93508056234,20,205.0,-202110,1635504,561.7995639015751
93124000,206200,206100,20, 206053.73715930642,20,200.0,-242814,1661904,555.0900827793629
93127000,206100,205800,20, 206092.9442666132,20,210.0,-307018,1615764,548.771354937555
93130000,206200,206000,20, 206105.889808797,20,215.0,-259322,1631564,531.8540683307781
93133000,206200,206100,20, 206176.29227283038,20,210.0,-279826,1533964,501.52268144122854
93136000,206400,206200,20, 206278.45780811543,20,205.0,-344730,1436864,470.8702050459341
93139000,206200,206000,20, 206370.25350838812,20,205.0,-236734,1362164,453.28660911171863
93142000,206100,205900,20, 206365.4539485972,20,200.0,-30738,1413464,438.7197283004264
93145000,206100,206000,20, 206385.99434955328,20,180.0,128058,1394580,405.30852446007106
93148000,206000,205800,20, 206395.07383479466,20,180.0,234238,1386880,386.6522985836241
93151000,206100,206000,20, 206405.41651376148,20,180.0,347518,1362500,372.5251669350676
93154000,206200,206100,20, 206384.15910193333,20,180.0,454818,1443100,372.5251669350676
93157000,206100,205800,20, 206368.3520856202,20,190.0,730318,1457600,376.0319135392633
93200000,206000,205600,20, 206213.65409622886,20,205.0,968118,1307300,380.6162765831225
93203000,206000,205800,20, 206128.25955647597,20,210.0,1161419,1158900,300.04166377354994
93206000,205700,205600,20, 206056.85528756958,20,205.0,1260420,1078000,223.53690970396812
93209000,205400,205200,20, 205995.51083648574,20,195.0,1327720,1081716,231.98868506890588
93212000,205000,204900,20, 205870.35254975682,20,195.0,1389820,1072416,303.4283276162593
93215000,204900,204600,20, 205818.81888444533,20,190.0,1360820,1098216,396.1060464067672
93218000,204900,204700,20, 205773.3265817346,20,195.0,1357920,1042716,455.3775905773142
93221000,204600,204500,20, 205716.80760091238,20,185.0,1330820,1006616,528.316903004248
93224000,204600,204500,20, 205659.98118250136,20,185.0,1304920,986316,577.1644046543411
93227000,204900,204600,20, 205549.1175122546,20,185.0,1391020,1029816,604.333310351167
93230000,205100,204900,20, 205451.38790839523,20,185.0,1428320,1133216,605.2427199066503
93233000,205400,205000,20, 205380.09572278013,20,200.0,1666604,1148316,592.0515180286257
93236000,205400,205100,20, 205323.74774316413,20,205.0,1893188,1132116,563.3105271517655
93239000,205400,205100,20, 205276.99859747547,20,210.0,1986872,1092316,543.0469592954186
93242000,205100,205000,20, 205252.8091865948,20,205.0,2070056,1135916,528.978969336211
93245000,205100,205000,20, 205235.9604778611,20,205.0,2157540,1148116,506.52615924550236
93248000,205700,205600,20, 205207.82860210346,20,200.0,2290224,1132616,494.3177115985224
93251000,205700,205400,20, 205136.29795636362,20,210.0,2430408,1140516,466.61011562116823
93254000,206000,205900,20, 205124.32019274123,20,210.0,2562892,1135616,449.13806340589747
93257000,205700,205600,20, 205095.5872413957,20,200.0,2564976,1094916,429.94185653411324
93300000,205900,205700,20, 205097.1001693597,20,190.0,2569760,1100616,429.94185653411324
93303000,205900,205700,20, 205117.51807161336,20,190.0,2605244,1141016,422.6405091800832
93306000,205900,205700,20, 205112.68164996844,20,195.0,2679628,1107900,431.3568708158014
93309000,205500,205400,20, 205197.78481012658,20,190.0,2899812,1106000,433.76260788592646
93312000,205400,205300,20, 205224.3963737546,20,190.0,3171996,1114100,429.1270208225066
93315000,205500,205400,20, 205248.01444043324,20,180.0,3429680,1163400,414.3971524998694
93318000,205700,205500,20, 205276.0779778622,20,180.0,3643664,1210600,403.14389490602485
93321000,206200,205900,20, 205323.83875918895,20,190.0,3660278,1237900,389.4226495724151
93324000,206500,206400,20, 205388.97027143472,20,190.0,3575592,1160500,399.6561021678513
93327000,206600,206400,20, 205497.6628961391,20,185.0,3424006,1069700,416.01532423698046
93330000,206600,206500,20, 205548.11940298506,20,180.0,3253020,1005000,441.98416261219137
93333000,206500,206300,20, 205600.96783949994,20,170.0,2912350,991900,455.35700280109893
93336000,206400,206100,20, 205643.53223868643,20,170.0,2707780,998800,454.8076516506731
93339000,206100,205900,20, 205700.27534162757,20,165.0,2585310,980600,440.2485093671528
93342000,205900,205700,20, 205726.61004954,20,170.0,2460910,989100,403.70162248868905
93345000,206000,205900,20, 205746.06896551725,20,170.0,2294910,1015000,359.1656999213594
93348000,206000,205900,20, 205809.69885328476,20,170.0,2076810,933100,354.64771252610666
93351000,206100,205900,20, 205822.81438415157,20,165.0,1840040,928800,344.91846862700754
93354000,206000,205900,20, 205830.6237983337,20,165.0,1796640,936200,344.91846862700754
93357000,205900,205600,20, 205840.16334864727,20,175.0,1786040,979500,341.4216601213227
93400000,205900,205700,20, 205850.6880733945,20,175.0,1787040,959200,341.4216601213227
93403000,205800,205700,20, 205839.73867766972,20,170.0,1796940,1017900,342.6368339802363
93406000,205600,205500,20, 205829.4259123706,20,165.0,1861440,956300,351.9499254155341
93409000,205600,205500,20, 205850.03744516958,20,165.0,1810940,934700,345.78714551006664
93412000,205700,205500,20, 205878.45260689963,20,170.0,1778740,895700,328.5954960129551
93415000,205500,205400,20, 205904.8632218845,20,170.0,1790540,855400,328.5954960129551
93418000,205600,205500,20, 205892.11573236893,20,165.0,1773440,829500,331.38912172852025
93421000,205800,205700,20, 205875.60255198486,20,155.0,1910310,846400,332.9695932063467
93424000,206000,205600,20, 205838.06636155606,20,170.0,2211180,874000,311.40809238040043
93427000,205700,205600,20, 205825.7024888175,20,165.0,2506350,871900,282.61059781968544
93430000,205700,205500,20, 205777.75460930643,20,170.0,2799120,911200,237.6446927663229
93433000,205500,205300,20, 205734.70582087993,20,170.0,3136390,956900,210.8909670896314
93436000,205300,205200,20, 205697.73947151116,20,160.0,3402760,968800,206.09463845524948
93439000,205400,205200,20, 205670.5190592052,20,160.0,3552130,986400,212.36760581595303
93442000,205200,205100,20, 205652.22943269834,20,155.0,3676030,955400,238.15698604072062
93445000,205300,205200,20, 205626.67285287144,20,155.0,3808830,969900,241.07830678018294
93448000,205500,205200,20, 205594.3357574516,20,165.0,3929230,976300,233.17107453541487
93451000,205600,205300,20, 205564.62093862816,20,170.0,4096600,969500,212.6617031813674
93454000,205700,205500,20, 205526.31862797972,20,175.0,4327200,927100,192.01236939322425
93457000,205800,205500,20, 205512.17196500962,20,175.0,4501100,937400,187.39997331910163
93500000,205500,205400,20, 205504.95520407037,20,170.0,4762000,904100,176.70597047072292
93503000,205800,205700,20, 205504.74922325788,20,170.0,4899400,901200,176.70597047072292
93506000,205600,205500,20, 205512.8860489883,20,170.0,5025800,939000,176.70597047072292
93509000,205700,205500,20, 205512.79416639043,20,175.0,5104300,905100,177.6759691123141
93512000,205700,205600,20, 205521.00620712186,20,170.0,5121300,918300,179.3042107704111
93515000,205800,205700,20, 205523.181067694,20,170.0,5089300,908500,186.07794065928394
93518000,205600,205400,20, 205528.05071315373,20,175.0,5253800,946500,186.0611458633962
93521000,205600,205500,20, 205517.62171477813,20,175.0,5505700,928400,178.79807045938722
93524000,205600,205500,20, 205518.0457558264,20,160.0,5667000,935400,166.58331248957683
93527000,205600,205500,20, 205513.73080397473,20,160.0,5824500,885600,163.47782724271815
93530000,205700,205600,20, 205507.66114619325,20,155.0,5986300,839300,165.43503256565702
93533000,205800,205600,20, 205521.39391787953,20,155.0,6174400,845100,169.46607330082324
93536000,205900,205600,20, 205542.03501897882,20,165.0,6392000,816700,165.7369904396722
93539000,205900,205600,20, 205554.77699244456,20,170.0,6643800,820600,162.48076809271922
93542000,205900,205600,20, 205577.53404845126,20,180.0,6841200,829700,137.4772708486752
93545000,205800,205600,20, 205599.49257425743,20,185.0,7055600,808000,114.97282287566918
93548000,205700,205600,20, 205616.27610799795,20,175.0,7273100,785200,98.07522622966515
93551000,205900,205800,20, 205636.88432134353,20,165.0,7400900,797900,100.59199769365354
93554000,206000,205900,20, 205651.47494525314,20,160.0,7325900,776300,119.4780314534852
93557000,205900,205800,20, 205652.8984532616,20,150.0,7357600,743500,125.99603168354153
93600000,205800,205600,20, 205675.49488054606,20,155.0,7449200,732500,114.97282287566918
93603000,205700,205600,20, 205689.77978543195,20,155.0,7657000,708400,114.31863365173676
93606000,205700,205600,20, 205692.5443310048,20,155.0,7719700,744400,110.53845484717073
93609000,205600,205500,20, 205695.78862660943,20,150.0,7884600,745600,113.02654555457315
93612000,205900,205800,20, 205695.4837054144,20,150.0,7983400,779400,118.21590417536889
93615000,205700,205600,20, 205707.79480346435,20,150.0,8149700,750500,117.89826122551597
93618000,205700,205600,20, 205719.1625069329,20,145.0,8142400,721200,110.08519428151999
